OP:0x0001, Name:"DebugIF{"
OP:0x0002, Name:"DebugMessage"
OP:0x0004, Name:"GetSysModeNo"
OP:0x0500, Name:"OpenUrlFiles"
OP:0x0501, Name:"OpenTextFiles"
OP:0x0502, Name:"OpenFoloder"
OP:0x0503, Name:"OpenEXE"
OP:0x0600, Name:"GlobalSave"
OP:0x0601, Name:"GlobalLoad"
OP:0x0602, Name:"LocalSaveCreate"
OP:0x0603, Name:"LocalSave"
OP:0x0604, Name:"LocalLoad"
OP:0x0605, Name:"SetSaveComment"
OP:0x0606, Name:"GetSaveComment"
OP:0x0607, Name:"GetSaveTime"
OP:0x0608, Name:"GetSaveCG"
OP:0x0609, Name:"GetSaveHeadAll"
OP:0x060A, Name:"SaveFileChk"
OP:0x060B, Name:"GetSaveBuffCG"
OP:0x060C, Name:"LocalSaveEx"
OP:0x060D, Name:"GetSaveTextNameOBJ"
OP:0x060E, Name:"GetSaveTextOBJ"
OP:0x0700, Name:"StartBakLog"
OP:0x0701, Name:"EndBakLog"
OP:0x0702, Name:"BakLogName"
OP:0x0703, Name:"BakLogText"
OP:0x0704, Name:"BakLogKoe"
OP:0x0705, Name:"BakLogTxtPosX"
OP:0x0706, Name:"BakLogTxtPosY"
OP:0x0707, Name:"BakLogTxtLimitLR"
OP:0x0708, Name:"BakLogNextLine"
OP:0x0709, Name:"BakLogGetTxtPos"
OP:0x070A, Name:"BakLogKazu"
OP:0x070B, Name:"BakLogChk"
OP:0x070C, Name:"BakLogNameChk"
OP:0x070D, Name:"BakLogKoeChk"
OP:0x070E, Name:"BakLogReset"
OP:0x070F, Name:"SetKaigyouToFont"
OP:0x0710, Name:"SetKaigyouToPixel"
OP:0x0711, Name:"D_BakLogShadow"
OP:0x0712, Name:"BakLogONOFF"
OP:0x0800, Name:"AudioPlay"
OP:0x0802, Name:"AudioStop"
OP:0x0803, Name:"AudioPlayChk"
OP:0x0804, Name:"AudioVolume"
OP:0x0805, Name:"AudioRepeat"
OP:0x0806, Name:"AudioFadeTime"
